Trump,Clinton,Margin,County,FIPS
"5,966","3,745",0.228709711,Adams,55001
"3,303","4,226",-0.122592642,Ashland,55003
"13,614","7,889",0.26624192,Barron,55005
"4,124","4,953",-0.091329734,Bayfield,55007
"67,210","53,382",0.11466764,Brown,55009
"4,048","2,525",0.231705462,Buffalo,55011
"5,410","2,949",0.294413207,Burnett,55013
"15,367","9,642",0.22891759,Calumet,55015
"17,916","11,887",0.202295071,Chippewa,55017
"8,652","4,221",0.344208809,Clark,55019
"14,163","13,528",0.022931638,Columbia,55021
"3,836","3,419",0.057477602,Crawford,55023
"71,275","217,697",-0.506699611,Dane,55025
"26,635","13,968",0.311972022,Dodge,55027
"8,580","8,014",0.034108714,Door,55029
"9,661","11,357",-0.08069274,Douglas,55031
"11,486","9,034",0.119493177,Dunn,55033
"23,331","27,340",-0.079118233,Eau Claire,55035
"1,898",665,0.481076863,Florence,55037
"31,022","17,387",0.281662501,Fond du Lac,55039
"2,787","1,579",0.276683463,Forest,55041
"12,350","10,051",0.102629347,Grant,55043
"8,693","9,122",-0.024080831,Green,55045
"6,216","2,693",0.395442811,Green Lake,55047
"4,809","6,669",-0.162049137,Iowa,55049
"2,081","1,275",0.240166865,Iron,55051
"4,906","3,818",0.124713434,Jackson,55053
"23,417","16,569",0.171259941,Jefferson,55055
"7,130","4,073",0.272873337,Juneau,55057
"36,037","35,799",0.003313102,Kenosha,55059
"6,618","3,627",0.291947291,Kewaunee,55061
"26,378","32,406",-0.10254491,La Crosse,55063
"3,977","3,288",0.094838266,Lafayette,55065
"6,478","3,250",0.331825658,Langlade,55067
"8,401","5,371",0.220011618,Lincoln,55069
"23,244","14,538",0.230427188,Manitowoc,55071
"39,014","26,481",0.191358119,Marathon,55073
"13,122","6,409",0.343709999,Marinette,55075
"4,709","2,808",0.252893442,Marquette,55077
267,"1,002",-0.579196217,Menominee,55078
"126,069","288,822",-0.392278936,Milwaukee,55079
"11,356","7,052",0.233811386,Monroe,55081
"13,345","5,940",0.383977184,Oconto,55083
"12,132","8,109",0.198755002,Oneida,55085
"49,879","38,068",0.134296792,Outagamie,55087
"30,464","20,170",0.203302129,Ozaukee,55089
"2,206","1,344",0.242816901,Pepin,55091
"11,272","8,399",0.146052565,Pierce,55093
"13,810","7,565",0.292163743,Polk,55095
"17,305","18,529",-0.034157504,Portage,55097
"4,559","2,667",0.261832272,Price,55099
"46,681","42,641",0.045229619,Racine,55101
"4,013","3,569",0.058559747,Richland,55103
"31,493","39,339",-0.110769144,Rock,55105
"4,564","2,171",0.355308092,Rusk,55107
"14,799","14,690",0.003696294,Sauk,55109
"5,185","3,503",0.193600368,Sawyer,55111
"12,769","6,068",0.355736051,Shawano,55113
"32,514","23,000",0.171380192,Sheboygan,55115
"26,222","17,482",0.199981695,St. Croix,55117
"6,579","2,393",0.466562639,Taylor,55119
"7,366","5,636",0.133056453,Trempealeau,55121
"7,004","6,371",0.047327103,Vernon,55123
"8,166","4,770",0.262523191,Vilas,55125
"28,863","18,710",0.213419377,Walworth,55127
"5,436","3,282",0.247075017,Washburn,55129
"51,740","20,852",0.425501433,Washington,55131
"142,543","79,224",0.285520389,Waukesha,55133
"16,209","8,451",0.31459854,Waupaca,55135
"7,667","3,791",0.338278932,Waushara,55137
"43,445","37,047",0.07948616,Winnebago,55139
"21,498","14,225",0.203594323,Wood,55141